name,address,contact,price,fee,options,gas_type,comment,place,latitude,longitude
우리오피스텔,호서로125번길 25,010-2335-6023,년세 240,X / 30만원,풀옵션,직접 문의,"난방비, 수도세 개별 납부",후문,36.7419834,127.0724197
반석빌,호서로 111-8,010-5319-7529,년세 400,X / 30만원,풀옵션,도시가스,,후문,36.7423805,127.0735883
스마트타운 B동,호서로 111-5,010-5319-7529,년세 360만원 / 반년세 180만원,X / 30만원,풀옵션,도시가스,,후문,36.7422037,127.0738329
샬롬빌,호서로 111-6,010-5319-7529,년세 430,X / 30만원,풀옵션,도시가스,,후문,36.742521,127.0737729
여운빌,호서로103번길 21,010-7143-6291,년세 350 / 반년세 180,X / 20만원,풀옵션,심야전기,"난방비, 수도세 개별 납부",후문,36.7405084,127.0734476
모닝빌,호서로125번길 43,010-9461-0540,년세 350,X / 20만원,풀옵션,심야전기,전기세 개별 납부,후문,36.7405469,127.0731254
화이트빌,호서로125번길 52,010-3589-8081,년세 320,X / 20만원,풀옵션,심야전기,"전기세, 수도세 개별 납부",후문,36.7400009,127.0725237
금오빌,호서로125번길 46,010-6486-9911,년세 320,X / 10만원,풀옵션,도시가스,전기세 개별 납부,후문,36.7402997,127.0729002
이수빌라,호서로125번길 62-2,010-4801-7328,년세 330,X / 20만원,풀옵션,심야전기,"전기세, 난방비 개별납부",후문,36.7394623,127.0718387
애플하우스,호서로125번길 62-3,010-5427-2031,년세 300 - 310,X / 10만원,풀옵션,심야전기,전기세 개별 납부 / 옥상 휴게공간 자유롭게 이용 가능,후문,36.7394681,127.0714946
에코빌,호서로125번길 62-7,010-5263-8270,년세 550 - 600,X / 50만원,풀옵션,도시가스,"전기세, 수도세 개별 납부 / 공용정수기 보유",후문,36.7396846,127.0715067
예당빌,호서로 125번길 64-1,010-5428-2160,년세 250,X,풀옵션,도시가스,"전기세, 가스비 개별 납부 / 공용정수기 보유",후문,36.7393916,127.0712335
청송빌,호서로 125번길 64,010-5428-2160,년세 250,X / 20,풀옵션,도시가스,"전기세, 가스비 개별 납부 / 공용정수기 보유",후문,36.7395645,127.0712793
샛별원룸,호서로 125번길 58,010-5277-6489,년세 500 - 700,5 - 8만원 / 50만원,풀옵션,도시가스,"전기세, 가스비 개별 납부",후문,36.739687,127.0721898
벧엘원룸,호서로125번길 40-4 ~ 40-7,010-2540-2488,년세 390 - 430,2 - 4만원 / 30만원,풀옵션,도시가스,"인터넷, 수도세, 전기세, 엘레베이터 관리비 개별 납부
A, B, C동 있으며 방타입별로 가격 상이하므로 직접 문의",후문,36.7405664,127.0721332
리치하우스,호서로 125번길 22-3,010-5394-8121,년세 430,3만원 / X,풀옵션,심야전기,하숙집 형태이므로 직접 문의,후문,36.7419928,127.0719294
아이빌,호서로 125번길 30-4,010-2494-3232,년세 250 / 반년세 130,X / 20만원,풀옵션,심야전기,전기세 개별 납부,후문,36.7415538,127.0720439
